Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Hf0.25 Nb Ta W0.5,BCC,AC,None,compressive yield strength,EXP,None,298.0,1037000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.05,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1192000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.10,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1230000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.15,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1265000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.20,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1293000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.25,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1317000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5,BCC,A,isothermal annealing at 1673 K for 12 h,compressive yield strength,EXP,None,298.0,942000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.05,BCC+carbide,A,isothermal annealing at 1673 K for 12 h; Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1115000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.10,BCC+carbide,A,isothermal annealing at 1673 K for 12 h; Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1194000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.15,BCC+carbide,A,isothermal annealing at 1673 K for 12 h; Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1218000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.20,BCC+carbide,A,isothermal annealing at 1673 K for 12 h; Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1279000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.25,BCC+carbide,A,isothermal annealing at 1673 K for 12 h; Authors claim (NbTaHf)C FCC-type,compressive yield strength,EXP,None,298.0,1337000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5,BCC,AC,None,ultimate compressive strength,EXP,None,298.0,2568000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.05,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,ultimate compressive strength,EXP,None,298.0,2417000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.10,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,ultimate compressive strength,EXP,None,298.0,2700000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
1,Hf0.25 Nb Ta W0.5 C0.15,BCC+carbide,AC,Authors claim (NbTaHf)C FCC-type,ultimate compressive strength,EXP,None,298.0,2629000000,None,Pa,T3,10.1016/j.jmst.2021.05.015
