Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 300 MPa,750,1e-08,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 500 MPa,750,9.306e-07,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 350 MPa,750,2.74e-08,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 600 MPa,750,9.0278e-06,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 550 MPa,750,2.45e-06,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 400 MPa,750,1.217e-07,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 200 MPa,800,6.6e-09,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 250 MPa,800,2.61e-08,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 500 MPa,800,1.62222e-05,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 350 MPa,800,4.5e-07,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 400 MPa,800,1.7417e-06,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 150 MPa,850,1.84e-08,-,%/s,T6,CDS No.49A
1,Ni60.06 Cr17.4 Mo1.05 W0.81 Al7.34 Ti4.15 Nb0.6 Ta0.54 Co8.06 ,FCC+L12,HIP,HIP 100MPa@1176C (2h) > Gas fan cooling@1176C (2h) > Gas fan cooling@843C (24h),creep rate,EXP,stress = 300 MPa,850,1.73056e-05,-,%/s,T6,CDS No.49A
